scheme_type	topic_number	average coherence	coherence_dist
c_uci	26	-4.052302	-11.66234, -1.948315, -4.396570, -1.409394, -3.388850, -2.891728, -7.364895, -1.120590, -6.013513, -1.827283, -7.886004, -0.987733, -2.349311, -5.388373, -4.772638, -1.095682, -3.152781, -2.419160, -2.534476, -8.243741, -7.821044, -0.082430, -2.229721, 0.0830624, -9.702925, -4.753408
c_npmi	26	-0.093328	-0.387686, -0.021545, -0.080610, 0.0036688, -0.058212, -0.036130, -0.171863, 0.0189941, -0.172578, 0.0073051, -0.219416, -0.012722, -0.023010, -0.158386, -0.136374, 0.0011217, -0.060147, -0.023112, -0.032787, -0.238009, -0.206135, 0.0040535, -0.061592, 0.0389831, -0.282062, -0.118295
c_v	26	0.7009348	0.8339587, 0.7105398, 0.7262244, 0.6756115, 0.7344526, 0.7275924, 0.7648519, 0.6997222, 0.7078335, 0.6929145, 0.7250340, 0.6649548, 0.6776803, 0.6569465, 0.6406784, 0.6481805, 0.6752333, 0.6682093, 0.7098931, 0.7355734, 0.7515299, 0.6117402, 0.6425530, 0.6513277, 0.7852890, 0.7057807
u_mass	27	-7.146869	-8.525648, -8.991045, -6.653121, -19.62748, -2.741079, -3.589886, -19.15905, -4.281090, -2.314842, -2.220880, -4.053879, -5.451270, -5.133973, -5.151458, -4.095012, -3.215800, -13.57078, -4.579530, -3.279377, -5.876126, -8.941274, -9.275208, -5.902858, -16.27342, -10.11129, -5.189728, -4.760346
c_uci	27	-4.078887	-4.342733, -6.371819, -3.419915, -11.07630, -0.293602, -1.607087, -11.55557, -1.819831, -0.170542, -0.096331, -1.696606, -3.102866, -2.286583, -4.477216, -2.374983, -0.764779, -9.045705, -2.896672, -2.479184, -3.364874, -6.461751, -5.146965, -2.589717, -9.213970, -6.837315, -3.319430, -3.317594
c_npmi	27	-0.094817	-0.076793, -0.192258, -0.049387, -0.349440, 0.0368602, -0.024959, -0.376321, -0.004726, -0.009866, 0.0318615, -0.005049, -0.062303, -0.032190, -0.079272, -0.040891, 0.0207999, -0.284030, -0.043748, -0.035017, -0.058906, -0.185731, -0.086275, -0.033616, -0.260255, -0.198927, -0.072799, -0.086834
c_v	27	0.7019444	0.7264305, 0.6626809, 0.7123898, 0.7891929, 0.6681700, 0.6523592, 0.8248620, 0.7113885, 0.5967207, 0.6389586, 0.6732249, 0.6861857, 0.6606567, 0.7589753, 0.6510398, 0.6866656, 0.7261698, 0.7193546, 0.7125113, 0.7062794, 0.7479809, 0.7439578, 0.6838412, 0.7959861, 0.6997650, 0.6886401, 0.6281105
u_mass	28	-7.153910	-17.24991, -7.966042, -3.976785, -7.758849, -3.524998, -3.812701, -16.38567, -3.455508, -14.89917, -6.495990, -8.188024, -3.438974, -9.972360, -13.82806, -4.988211, -2.765020, -2.548308, -18.01667, -4.411258, -6.933359, -3.956353, -2.558061, -16.51817, -3.467697, -2.975675, -3.022319, -2.901160, -4.294158
c_uci	28	-4.099559	-10.03642, -5.353953, -2.696406, -4.495404, -1.262052, -1.820055, -10.56117, -1.297654, -8.659507, -4.510901, -5.303241, -1.924471, -5.933360, -8.632942, -3.839583, -0.678573, -0.373725, -10.93282, -2.290475, -4.328003, -2.214566, -1.455368, -9.963985, -0.947695, -1.200051, -0.626784, -1.063642, -2.384821
c_npmi	28	-0.094495	-0.309672, -0.151342, -0.062206, -0.118298, 0.0338363, 0.0023885, -0.325976, 0.0289822, -0.242207, -0.108741, -0.099698, -0.031063, -0.148383, -0.260427, -0.091502, 0.0096141, -0.005942, -0.357768, -0.021110, -0.040544, -0.047607, -0.033311, -0.298851, 0.0558126, -0.036771, 0.0406311, -0.001867, -0.023850
c_v	28	0.7178897	0.7767179, 0.6970881, 0.6717597, 0.6833457, 0.7484077, 0.7053970, 0.8609546, 0.7174158, 0.7936631, 0.7097904, 0.7565873, 0.6847822, 0.7467827, 0.7140241, 0.6966323, 0.6500744, 0.6350456, 0.7712915, 0.7181844, 0.7743127, 0.6872124, 0.6784086, 0.7640580, 0.7428393, 0.6413566, 0.6867881, 0.6592426, 0.7287491
u_mass	29	-7.299082	-3.096414, -2.830772, -14.33564, -5.680689, -4.053947, -7.796186, -12.28117, -5.150424, -2.430150, -3.530601, -19.28667, -5.759436, -18.99895, -5.795140, -2.744941, -7.205492, -10.62013, -7.951901, -4.640807, -2.093106, -2.322922, -2.756277, -4.793611, -3.452944, -12.58975, -6.489981, -7.305404, -4.823059, -20.85682
c_uci	29	-4.284527	-0.558595, -1.467191, -8.399401, -4.557106, -2.362498, -4.973821, -7.809778, -2.604998, -1.110903, -1.340863, -10.94482, -4.557412, -11.60637, -4.156423, -1.595666, -4.665392, -7.323568, -4.923976, -2.391298, -0.055538, -0.562383, -0.506611, -3.212980, -1.196058, -9.456387, -3.978406, -4.642899, -2.676697, -10.61323
c_npmi	29	-0.102808	0.0399168, 0.0034628, -0.244218, -0.114951, -0.013451, -0.074851, -0.225506, -0.032859, -0.007413, 0.0210617, -0.338041, -0.127915, -0.373527, -0.026982, -0.034165, -0.141866, -0.230005, -0.124744, -0.039864, 0.0215059, -0.020523, 0.0190518, -0.087977, 0.0426329, -0.284696, -0.084951, -0.121688, -0.060986, -0.317882
c_v	29	0.7034456	0.6793422, 0.6957042, 0.7556007, 0.7113808, 0.7202076, 0.7646199, 0.7415450, 0.7158210, 0.6303615, 0.6841533, 0.7944159, 0.7093388, 0.7989041, 0.7663585, 0.6517542, 0.6288104, 0.7065724, 0.6766853, 0.6856073, 0.6435839, 0.5904619, 0.6635623, 0.6231404, 0.7347583, 0.7452524, 0.7195014, 0.6700179, 0.6687954, 0.8236663
